month,region,product,channel,units,price_per_unit,revenue,gross_margin
2026-01-01,North,CardioMax,Hospital,189,62.0,11718.0,0.285
2026-01-01,North,CardioMax,Retail,457,70.0,31990.0,0.347
2026-01-01,North,CardioMax,Online,277,42.0,11634.0,0.414
2026-01-01,North,GlucoCare,Hospital,693,62.0,42966.0,0.369
2026-01-01,North,GlucoCare,Retail,520,42.0,21840.0,0.288
2026-01-01,North,GlucoCare,Online,510,48.0,24480.0,0.402
2026-01-01,North,Respira,Hospital,729,62.0,45198.0,0.377
2026-01-01,North,Respira,Retail,545,55.0,29975.0,0.235
2026-01-01,North,Respira,Online,191,55.0,10505.0,0.195
2026-01-01,North,NeuroPlus,Hospital,789,70.0,55230.0,0.332
2026-01-01,North,NeuroPlus,Retail,248,62.0,15376.0,0.265
2026-01-01,North,NeuroPlus,Online,172,70.0,12040.0,0.394
2026-01-01,South,CardioMax,Hospital,648,62.0,40176.0,0.227
2026-01-01,South,CardioMax,Retail,403,55.0,22165.0,0.191
2026-01-01,South,CardioMax,Online,546,42.0,22932.0,0.344
2026-01-01,South,GlucoCare,Hospital,839,62.0,52018.0,0.412
2026-01-01,South,GlucoCare,Retail,440,48.0,21120.0,0.269
2026-01-01,South,GlucoCare,Online,179,55.0,9845.0,0.225
2026-01-01,South,Respira,Hospital,481,42.0,20202.0,0.294
2026-01-01,South,Respira,Retail,377,48.0,18096.0,0.341
2026-01-01,South,Respira,Online,853,55.0,46915.0,0.38
2026-01-01,South,NeuroPlus,Hospital,611,62.0,37882.0,0.255
2026-01-01,South,NeuroPlus,Retail,718,70.0,50260.0,0.373
2026-01-01,South,NeuroPlus,Online,776,48.0,37248.0,0.249
2026-01-01,East,CardioMax,Hospital,306,62.0,18972.0,0.214
2026-01-01,East,CardioMax,Retail,769,42.0,32298.0,0.182
2026-01-01,East,CardioMax,Online,741,62.0,45942.0,0.34
2026-01-01,East,GlucoCare,Hospital,487,62.0,30194.0,0.367
2026-01-01,East,GlucoCare,Retail,553,55.0,30415.0,0.316
2026-01-01,East,GlucoCare,Online,149,42.0,6258.0,0.207
2026-01-01,East,Respira,Hospital,462,62.0,28644.0,0.293
2026-01-01,East,Respira,Retail,786,55.0,43230.0,0.364
2026-01-01,East,Respira,Online,568,62.0,35216.0,0.313
2026-01-01,East,NeuroPlus,Hospital,190,55.0,10450.0,0.253
2026-01-01,East,NeuroPlus,Retail,590,42.0,24780.0,0.285
2026-01-01,East,NeuroPlus,Online,886,48.0,42528.0,0.278
2026-01-01,West,CardioMax,Hospital,894,70.0,62580.0,0.236
2026-01-01,West,CardioMax,Retail,760,42.0,31920.0,0.248
2026-01-01,West,CardioMax,Online,835,48.0,40080.0,0.339
2026-01-01,West,GlucoCare,Hospital,218,55.0,11990.0,0.368
2026-01-01,West,GlucoCare,Retail,896,62.0,55552.0,0.278
2026-01-01,West,GlucoCare,Online,446,70.0,31220.0,0.22
2026-01-01,West,Respira,Hospital,380,42.0,15960.0,0.202
2026-01-01,West,Respira,Retail,721,62.0,44702.0,0.291
2026-01-01,West,Respira,Online,679,42.0,28518.0,0.3
2026-01-01,West,NeuroPlus,Hospital,851,42.0,35742.0,0.347
2026-01-01,West,NeuroPlus,Retail,506,55.0,27830.0,0.271
2026-01-01,West,NeuroPlus,Online,306,48.0,14688.0,0.331
2026-02-01,North,CardioMax,Hospital,593,48.0,28464.0,0.201
2026-02-01,North,CardioMax,Retail,387,42.0,16254.0,0.411
2026-02-01,North,CardioMax,Online,405,70.0,28350.0,0.348
2026-02-01,North,GlucoCare,Hospital,476,48.0,22848.0,0.413
2026-02-01,North,GlucoCare,Retail,325,62.0,20150.0,0.352
2026-02-01,North,GlucoCare,Online,735,55.0,40425.0,0.245
2026-02-01,North,Respira,Hospital,181,42.0,7602.0,0.397
2026-02-01,North,Respira,Retail,219,55.0,12045.0,0.229
2026-02-01,North,Respira,Online,682,48.0,32736.0,0.319
2026-02-01,North,NeuroPlus,Hospital,546,42.0,22932.0,0.386
2026-02-01,North,NeuroPlus,Retail,135,62.0,8370.0,0.353
2026-02-01,North,NeuroPlus,Online,637,55.0,35035.0,0.331
2026-02-01,South,CardioMax,Hospital,229,55.0,12595.0,0.336
2026-02-01,South,CardioMax,Retail,610,42.0,25620.0,0.28
2026-02-01,South,CardioMax,Online,733,42.0,30786.0,0.299
2026-02-01,South,GlucoCare,Hospital,266,48.0,12768.0,0.215
2026-02-01,South,GlucoCare,Retail,648,42.0,27216.0,0.321
2026-02-01,South,GlucoCare,Online,738,42.0,30996.0,0.402
2026-02-01,South,Respira,Hospital,891,55.0,49005.0,0.263
2026-02-01,South,Respira,Retail,597,55.0,32835.0,0.185
2026-02-01,South,Respira,Online,238,70.0,16660.0,0.296
2026-02-01,South,NeuroPlus,Hospital,484,62.0,30008.0,0.2
2026-02-01,South,NeuroPlus,Retail,335,55.0,18425.0,0.298
2026-02-01,South,NeuroPlus,Online,464,70.0,32480.0,0.317
2026-02-01,East,CardioMax,Hospital,542,55.0,29810.0,0.244
2026-02-01,East,CardioMax,Retail,863,48.0,41424.0,0.305
2026-02-01,East,CardioMax,Online,782,55.0,43010.0,0.185
2026-02-01,East,GlucoCare,Hospital,403,70.0,28210.0,0.395
2026-02-01,East,GlucoCare,Retail,543,42.0,22806.0,0.313
2026-02-01,East,GlucoCare,Online,366,42.0,15372.0,0.341
2026-02-01,East,Respira,Hospital,212,48.0,10176.0,0.338
2026-02-01,East,Respira,Retail,689,62.0,42718.0,0.364
2026-02-01,East,Respira,Online,370,42.0,15540.0,0.4
2026-02-01,East,NeuroPlus,Hospital,880,48.0,42240.0,0.189
2026-02-01,East,NeuroPlus,Retail,230,55.0,12650.0,0.269
2026-02-01,East,NeuroPlus,Online,361,70.0,25270.0,0.374
2026-02-01,West,CardioMax,Hospital,871,48.0,41808.0,0.409
2026-02-01,West,CardioMax,Retail,615,48.0,29520.0,0.304
2026-02-01,West,CardioMax,Online,826,48.0,39648.0,0.405
2026-02-01,West,GlucoCare,Hospital,260,42.0,10920.0,0.191
2026-02-01,West,GlucoCare,Retail,353,55.0,19415.0,0.418
2026-02-01,West,GlucoCare,Online,238,70.0,16660.0,0.36
2026-02-01,West,Respira,Hospital,779,70.0,54530.0,0.394
2026-02-01,West,Respira,Retail,210,55.0,11550.0,0.256
2026-02-01,West,Respira,Online,137,62.0,8494.0,0.339
2026-02-01,West,NeuroPlus,Hospital,439,48.0,21072.0,0.203
2026-02-01,West,NeuroPlus,Retail,694,62.0,43028.0,0.243
2026-02-01,West,NeuroPlus,Online,124,70.0,8680.0,0.238
2026-03-01,North,CardioMax,Hospital,144,42.0,6048.0,0.379
2026-03-01,North,CardioMax,Retail,815,42.0,34230.0,0.223
2026-03-01,North,CardioMax,Online,406,55.0,22330.0,0.39
2026-03-01,North,GlucoCare,Hospital,154,42.0,6468.0,0.254
2026-03-01,North,GlucoCare,Retail,898,62.0,55676.0,0.413
2026-03-01,North,GlucoCare,Online,509,55.0,27995.0,0.215
2026-03-01,North,Respira,Hospital,848,42.0,35616.0,0.235
2026-03-01,North,Respira,Retail,337,42.0,14154.0,0.343
2026-03-01,North,Respira,Online,876,42.0,36792.0,0.302
2026-03-01,North,NeuroPlus,Hospital,843,62.0,52266.0,0.319
2026-03-01,North,NeuroPlus,Retail,445,42.0,18690.0,0.373
2026-03-01,North,NeuroPlus,Online,139,62.0,8618.0,0.357
2026-03-01,South,CardioMax,Hospital,764,42.0,32088.0,0.21
2026-03-01,South,CardioMax,Retail,562,70.0,39340.0,0.275
2026-03-01,South,CardioMax,Online,879,48.0,42192.0,0.297
2026-03-01,South,GlucoCare,Hospital,516,62.0,31992.0,0.409
2026-03-01,South,GlucoCare,Retail,526,48.0,25248.0,0.402
2026-03-01,South,GlucoCare,Online,509,42.0,21378.0,0.313
2026-03-01,South,Respira,Hospital,235,62.0,14570.0,0.205
2026-03-01,South,Respira,Retail,684,42.0,28728.0,0.281
2026-03-01,South,Respira,Online,125,70.0,8750.0,0.323
2026-03-01,South,NeuroPlus,Hospital,261,70.0,18270.0,0.373
2026-03-01,South,NeuroPlus,Retail,457,55.0,25135.0,0.368
2026-03-01,South,NeuroPlus,Online,780,42.0,32760.0,0.206
2026-03-01,East,CardioMax,Hospital,344,70.0,24080.0,0.371
2026-03-01,East,CardioMax,Retail,481,48.0,23088.0,0.307
2026-03-01,East,CardioMax,Online,716,62.0,44392.0,0.388
2026-03-01,East,GlucoCare,Hospital,707,62.0,43834.0,0.279
2026-03-01,East,GlucoCare,Retail,212,48.0,10176.0,0.282
2026-03-01,East,GlucoCare,Online,208,62.0,12896.0,0.388
2026-03-01,East,Respira,Hospital,333,55.0,18315.0,0.239
2026-03-01,East,Respira,Retail,329,48.0,15792.0,0.359
2026-03-01,East,Respira,Online,775,70.0,54250.0,0.205
2026-03-01,East,NeuroPlus,Hospital,807,42.0,33894.0,0.323
2026-03-01,East,NeuroPlus,Retail,399,42.0,16758.0,0.378
2026-03-01,East,NeuroPlus,Online,368,48.0,17664.0,0.215
2026-03-01,West,CardioMax,Hospital,833,70.0,58310.0,0.22
2026-03-01,West,CardioMax,Retail,241,48.0,11568.0,0.217
2026-03-01,West,CardioMax,Online,475,42.0,19950.0,0.185
